Cereal Name,Manufacturer,Type,Calories,HP,Cyl
Suzuki XL-7 EX,r,C,185,22,6
Toyota 4Runner SR5 V6,r,C,245,21,6
Toyota Avalon XL 4dr,r,C,210,29,6
Toyota Avalon XLS 4dr,r,C,210,29,6
Toyota Camry LE 4dr,r,C,157,33,4
Toyota Camry LE V6 4dr,r,C,210,29,6
Toyota Camry Solara SE 2dr,r,C,157,33,4
Toyota Camry Solara SE V6 2dr,r,C,225,29,6
Toyota Camry Solara SLE V6 2dr,r,C,225,29,6
Toyota Camry XLE V6 4dr,r,C,210,29,6
Toyota Celica GT-S 2dr,r,C,180,33,4
Toyota Corolla CE 4dr,r,C,130,40,4
Toyota Corolla LE 4dr,r,C,130,40,4
Toyota Corolla S 4dr,r,C,130,40,4
Toyota Echo 2dr auto,r,C,108,39,4
Toyota Echo 2dr manual,r,C,108,43,4
Toyota Echo 4dr,r,C,108,43,4
Toyota Highlander V6,r,C,230,24,6
Toyota Land Cruiser,r,C,325,17,8
Toyota Matrix XR,w,C,130,36,4
Toyota MR2 Spyder convertible 2dr,s,C,138,32,4
Toyota Prius 4dr (gas/electric),r,C,110,51,4
Toyota RAV4,r,C,161,27,4
Toyota Sequoia SR5,r,C,240,17,8
Toyota Sienna CE,r,C,230,27,6
Toyota Sienna XLE Limited,r,C,230,27,6
Toyota Tacoma,r,C,142,27,4
Toyota Tundra Access Cab V6 SR5,r,C,190,17,6
Toyota Tundra Regular Cab V6,r,C,190,20,6
Volkswagen Golf GLS 4dr,r,C,115,31,4
Volkswagen GTI 1.8T 2dr hatch,r,C,180,31,4
Volkswagen Jetta GL,w,C,115,30,4
Volkswagen Jetta GLI VR6 4dr,r,C,200,30,6
Volkswagen Jetta GLS TDI 4dr,r,C,100,46,4
Volkswagen New Beetle GLS 1.8T 2dr,r,C,150,31,4
Volkswagen New Beetle GLS convertible 2dr,r,C,115,30,4
Volkswagen Passat GLS 1.8T,w,C,170,31,4
Volkswagen Passat GLS 4dr,r,C,170,31,4
Volkswagen Passat GLX V6 4MOTION 4dr,r,C,190,26,6
Volkswagen Passat W8,w,C,270,25,8
Volkswagen Passat W8 4MOTION 4dr,r,C,270,25,8
Volkswagen Phaeton 4dr,r,C,335,25,8
Volkswagen Phaeton W12 4dr,r,C,420,25,12
Volkswagen Touareg V6,r,C,220,20,6
Volvo C70 HPT convertible 2dr,r,C,242,26,5
Volvo C70 LPT convertible 2dr,r,C,197,28,5
Volvo S40 4dr,r,C,170,29,4
Volvo S60 2.5 4dr,r,C,208,27,5
Volvo S60 R 4dr,r,C,300,25,5
Volvo S60 T5 4dr,r,C,247,28,5
Volvo S80 2.5T 4dr,r,C,194,27,5
Volvo S80 2.9 4dr,r,C,208,28,6
Volvo S80 T6 4dr,r,C,268,26,6
Volvo V40,w,C,170,29,4
Volvo XC70,w,C,208,27,5
Volvo XC90 T6,r,C,268,20,6
